date,employed_total_sa,unemployed_total_sa,unemployment_rate_sa,participation_rate_sa,labour_force_total_sa,employment_growth_pct
2024-01-01,14128.0072066,602.3640158,4.0892657,66.4818096,14730.3712225,
2024-02-01,14248.6563087,552.0521047,3.7299033,66.6473507,14800.7084134,0.854
2024-03-01,14237.5587466,574.5898964,3.8791799,66.5475333,14812.1486429,-0.078
2024-04-01,14254.0879629,610.4062196,4.1064715,66.7032729,14864.4941825,0.116
2024-05-01,14285.0012381,594.9760372,3.998501,66.6934334,14879.9772752,0.217
2024-06-01,14323.6942657,603.1325652,4.0405946,66.824026,14926.8268309,0.271
2024-07-01,14375.2063649,630.8592816,4.2040285,67.075976,15006.0656465,0.36
2024-08-01,14407.8874349,620.873321,4.1312343,67.0747933,15028.7607559,0.227
2024-09-01,14445.832588,606.0612233,4.0264782,67.0755688,15051.8938113,0.263
2024-10-01,14444.5598215,616.1999651,4.0914268,67.0240529,15060.7597866,-0.009
2024-11-01,14467.3917002,592.3666251,3.9334404,66.9288176,15059.7583253,0.158
2024-12-01,14521.5664459,603.7021497,3.9913483,67.1290385,15125.2685956,0.374
2025-01-01,14552.9210494,624.6435723,4.1155718,67.2257693,15177.5646217,0.216
2025-02-01,14485.0193669,612.27467,4.0555259,66.736129,15097.2940369,-0.467
2025-03-01,14508.911654,613.6145585,4.0576194,66.7138654,15122.5262125,0.165
2025-04-01,14588.98416,621.033774,4.0830575,67.0222791,15210.0179341,0.552
2025-05-01,14583.0389631,622.819493,4.095918,66.92659,15205.8584561,-0.041
2025-06-01,14578.0087487,658.8386952,4.323983,66.9856446,15236.8474439,-0.034
2025-07-01,14613.239683,648.9837109,4.2522226,66.9914212,15262.2233939,0.242
2025-08-01,14599.5695177,648.273253,4.2515736,66.8229512,15247.8427707,-0.094
2025-09-01,14610.7220639,681.3297807,4.4554504,66.9113709,15292.0518446,0.076
2025-10-01,14644.8820413,663.0306977,4.3312939,66.8999879,15307.912739,0.234
2025-11-01,14610.2346217,659.3753273,4.3182198,66.6522095,15269.609949,-0.237
2025-12-01,14674.5591764,628.9962282,4.1101313,66.7200102,15303.5554046,0.44
2026-01-01,14700.1617369,624.1987744,4.0732452,66.6675883,15324.3605112,0.174
2026-02-01,14749.8148511,659.9858125,4.2828965,66.8959855,15409.8006636,0.338
2026-03-01,14767.6930508,656.3305253,4.2552485,66.8148986,15424.0235761,0.121
